0, 0, Header, 1, 5, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 600000
1, 0, Marker_t, "Piano Sonata No.21"
1, 1920, Tempo, 400000
1, 1920, Marker_t, "Beethoven"
1, 2175, Tempo, 377358
1, 2865, Marker_t, "1:Allegro con brio"
1, 3840, Marker_t, "hisamori@bekkoame.or.jp"
1, 5700, Tempo, 379747
1, 5760, Tempo, 377358
1, 5760, Marker_t, "Mail in English only"
1, 7560, Tempo, 379747
1, 7680, Tempo, 377358
1, 7680, Marker_t, "Thanks"
1, 9480, Tempo, 389610
1, 9600, Tempo, 379747
1, 9840, Tempo, 377358
1, 13380, Tempo, 379747
1, 13440, Tempo, 377358
1, 15240, Tempo, 379747
1, 15360, Tempo, 377358
1, 17040, Tempo, 379747
1, 17160, Tempo, 389610
1, 17280, Tempo, 377358
1, 21000, Tempo, 379747
1, 21120, Tempo, 377358
1, 22740, Tempo, 379747
1, 22920, Tempo, 389610
1, 24255, Tempo, 394737
1, 24735, Tempo, 535714
1, 24960, Tempo, 750000
1, 26880, Tempo, 400000
1, 26985, Tempo, 377358
1, 30660, Tempo, 379747
1, 30720, Tempo, 377358
1, 32520, Tempo, 384615
1, 32640, Tempo, 377358
1, 34320, Tempo, 379747
1, 34440, Tempo, 384615
1, 34560, Tempo, 389610
1, 34680, Tempo, 377358
1, 38340, Tempo, 379747
1, 38400, Tempo, 377358
1, 40200, Tempo, 379747
1, 40320, Tempo, 377358
1, 42120, Tempo, 379747
1, 43920, Tempo, 379747
1, 44040, Tempo, 389610
1, 44160, Tempo, 428571
1, 44265, Tempo, 377358
1, 47880, Tempo, 379747
1, 48000, Tempo, 377358
1, 51720, Tempo, 379747
1, 51840, Tempo, 400000
1, 51945, Tempo, 377358
1, 53640, Tempo, 379747
1, 53850, Tempo, 377358
1, 55640, Tempo, 379747
1, 55680, Tempo, 400000
1, 55800, Tempo, 379747
1, 58920, Tempo, 389610
1, 59040, Tempo, 384615
1, 59280, Tempo, 389610
1, 59400, Tempo, 408163
1, 59520, Tempo, 392157
1, 60360, Tempo, 394737
1, 61335, Tempo, 397351
1, 62265, Tempo, 400000
1, 63240, Tempo, 402685
1, 64215, Tempo, 405405
1, 65175, Tempo, 408163
1, 66135, Tempo, 425532
1, 66480, Tempo, 428571
1, 66705, Tempo, 526316
1, 66930, Tempo, 895522
1, 67200, Tempo, 465116
1, 68160, Tempo, 441176
1, 68895, Tempo, 461538
1, 70095, Tempo, 487805
1, 71040, Tempo, 447761
1, 72105, Tempo, 441176
1, 72840, Tempo, 454545
1, 73905, Tempo, 472441
1, 74400, Tempo, 540541
1, 74880, Tempo, 447761
1, 75840, Tempo, 441176
1, 76560, Tempo, 461538
1, 77775, Tempo, 480000
1, 78720, Tempo, 447761
1, 79665, Tempo, 447761
1, 80160, Tempo, 465116
1, 80640, Tempo, 454545
1, 80760, Tempo, 447761
1, 81960, Tempo, 454545
1, 82275, Tempo, 454545
1, 82455, Tempo, 495868
1, 82560, Tempo, 434783
1, 83520, Tempo, 428571
1, 84360, Tempo, 434783
1, 86080, Tempo, 441176
1, 86160, Tempo, 472441
1, 86400, Tempo, 434783
1, 87345, Tempo, 428571
1, 88200, Tempo, 434783
1, 89160, Tempo, 441176
1, 89640, Tempo, 447761
1, 90105, Tempo, 540541
1, 90240, Tempo, 434783
1, 91200, Tempo, 428571
1, 92040, Tempo, 434783
1, 93760, Tempo, 441176
1, 93855, Tempo, 461538
1, 94080, Tempo, 425532
1, 94990, Tempo, 428571
1, 95715, Tempo, 434783
1, 95865, Tempo, 447761
1, 96000, Tempo, 434783
1, 96160, Tempo, 419580
1, 99720, Tempo, 425532
1, 100005, Tempo, 413793
1, 103560, Tempo, 419580
1, 103755, Tempo, 408163
1, 107400, Tempo, 413793
1, 107520, Tempo, 402685
1, 109320, Tempo, 408163
1, 109440, Tempo, 408163
1, 111120, Tempo, 413793
1, 111255, Tempo, 419580
1, 111360, Tempo, 394737
1, 113220, Tempo, 402685
1, 113280, Tempo, 389610
1, 115140, Tempo, 394737
1, 115200, Tempo, 384615
1, 117000, Tempo, 389610
1, 117180, Tempo, 379747
1, 118920, Tempo, 389610
1, 119130, Tempo, 377358
1, 122760, Tempo, 384615
1, 122880, Tempo, 377358
1, 126600, Tempo, 384615
1, 126720, Tempo, 379747
1, 127560, Tempo, 384615
1, 127680, Tempo, 379747
1, 128520, Tempo, 389610
1, 128640, Tempo, 379747
1, 129480, Tempo, 384615
1, 129600, Tempo, 379747
1, 130240, Tempo, 384615
1, 130395, Tempo, 389610
1, 130665, Tempo, 379747
1, 134235, Tempo, 389610
1, 134400, Tempo, 379747
1, 138000, Tempo, 384615
