0, 0, Header, 1, 2, 480
1, 0, Start_track
1, 0, Title_t, "Pièce Dans le Style Ancien "
1, 0, Title_t, "Op-74"
1, 0, Text_t, "Cecile Chaminade"
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 585594
1, 12960, Tempo, 603258
1, 15120, Tempo, 710395
1, 15600, Tempo, 581058
1, 27360, Tempo, 599640
1, 29520, Tempo, 788851
1, 30000, Tempo, 573285
1, 36000, Tempo, 562535
1, 44640, Tempo, 575484
1, 46080, Tempo, 599640
1, 46795, Tempo, 936622
1, 47275, Tempo, 578815
1, 53280, Tempo, 568936
1, 54720, Tempo, 559388
1, 59040, Tempo, 568936
1, 60480, Tempo, 575484
1, 62400, Tempo, 582185
1, 62640, Tempo, 599221
1, 62880, Tempo, 617284
1, 63120, Tempo, 636537
1, 63360, Tempo, 656958
1, 63600, Tempo, 678733
1, 63840, Tempo, 702083
1, 64080, Tempo, 727008
1, 64320, Tempo, 1165954
1, 64560, Tempo, 576590
1, 70320, Tempo, 582185
1, 70560, Tempo, 591483
1, 70800, Tempo, 601142
1, 71040, Tempo, 611122
1, 71280, Tempo, 621440
1, 71520, Tempo, 632111
1, 71760, Tempo, 753201
1, 71940, Tempo, 572082
1, 77754, Tempo, 591483
1, 77994, Tempo, 601142
1, 78234, Tempo, 611122
1, 78474, Tempo, 621440
1, 78714, Tempo, 632111
1, 78954, Tempo, 753201
1, 79200, Tempo, 584454
1, 89040, Tempo, 578815
1, 89280, Tempo, 589044
1, 89520, Tempo, 599640
1, 89760, Tempo, 610625
1, 90000, Tempo, 622019
1, 90240, Tempo, 633847
1, 90480, Tempo, 776598
1, 90720, Tempo, 606919
1, 95040, Tempo, 578815
1, 100800, Tempo, 582185
1, 101040, Tempo, 589044
1, 101280, Tempo, 596066
1, 101520, Tempo, 603258
1, 101760, Tempo, 610625
1, 102000, Tempo, 654593
1, 102240, Tempo, 736558
1, 102720, Tempo, 596066
1, 116580, Tempo, 622019
1, 122160, Tempo, 622019
1, 122400, Tempo, 633847
1, 122640, Tempo, 646134
1, 122880, Tempo, 658906
1, 123120, Tempo, 764721
1, 123600, Tempo, 603258
1, 129360, Tempo, 589044
1, 136800, Tempo, 614376
1, 138000, Tempo, 585594
1, 140880, Tempo, 582185
1, 141120, Tempo, 580889
1, 141360, Tempo, 579598
1, 141600, Tempo, 578313
1, 141840, Tempo, 577090
1, 142080, Tempo, 575816
1, 142320, Tempo, 574548
1, 142560, Tempo, 573285
1, 142800, Tempo, 572082
1, 143040, Tempo, 570831
1, 143280, Tempo, 569584
1, 143520, Tempo, 568343
1, 143760, Tempo, 567161
1, 144000, Tempo, 565931
1, 144240, Tempo, 564706
1, 144480, Tempo, 563486
1, 144720, Tempo, 562324
1, 144960, Tempo, 561115
1, 145200, Tempo, 559910
1, 145440, Tempo, 558711
1, 145680, Tempo, 557569
1, 145920, Tempo, 556380
1, 146160, Tempo, 555196
1, 146400, Tempo, 554017
1, 146640, Tempo, 552843
1, 146880, Tempo, 551724
1, 147120, Tempo, 550560
1, 147360, Tempo, 549400
1, 147600, Tempo, 548246
1, 147840, Tempo, 554221
1, 148080, Tempo, 552537
1, 148320, Tempo, 550914
1, 148560, Tempo, 549249
1, 148800, Tempo, 547645
1, 149040, Tempo, 546001
1, 149280, Tempo, 544415
1, 149520, Tempo, 541223
1, 152400, Tempo, 544168
1, 152640, Tempo, 555504
1, 152880, Tempo, 567322
1, 153120, Tempo, 579654
1, 153360, Tempo, 592534
1, 153600, Tempo, 605999
1, 153840, Tempo, 720634
1, 154080, Tempo, 738371
1, 154320, Tempo, 757002
1, 154560, Tempo, 776598
1, 154800, Tempo, 797236
1, 155040, Tempo, 819001
1, 155280, Tempo, 672194
1, 155280, End_track
2, 0, Start_track
2, 0, Title_t, "Piano"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 115
2, 0, Control_c, 0, 10, 64
2, 0, Control_c, 0, 91, 75
2, 0, Control_c, 0, 11, 100
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 110
2, 0, Control_c, 0, 91, 91
2, 0, Control_c, 0, 11, 127
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 110
2, 0, Control_c, 0, 10, 48
2, 0, Control_c, 0, 91, 75
2, 0, Control_c, 0, 11, 100
2, 1200, Note_on_c, 0, 47, 73
2, 1440, Note_on_c, 0, 52, 83
2, 1485, Note_on_c, 0, 47, 0
2, 1545, Control_c, 0, 64, 0
2, 1800, Note_on_c, 0, 54, 70
2, 1845, Note_on_c, 0, 52, 0
2, 1920, Note_on_c, 0, 55, 76
2, 1957, Note_on_c, 0, 54, 0
2, 2160, Note_on_c, 0, 57, 81
2, 2205, Note_on_c, 0, 55, 0
2, 2640, Note_on_c, 0, 64, 71
2, 2640, Note_on_c, 0, 59, 74
2, 2677, Note_on_c, 0, 57, 0
2, 2880, Note_on_c, 0, 59, 0
2, 2880, Note_on_c, 0, 66, 77
2, 2880, Note_on_c, 0, 60, 80
2, 2925, Note_on_c, 0, 64, 0
2, 3000, Control_c, 0, 64, 127
2, 3240, Note_on_c, 0, 67, 68
2, 3285, Note_on_c, 0, 66, 0
2, 3360, Note_on_c, 0, 69, 76
2, 3360, Note_on_c, 0, 57, 67
2, 3397, Note_on_c, 0, 60, 0
2, 3405, Note_on_c, 0, 67, 0
2, 3555, Control_c, 0, 64, 0
2, 3570, Note_on_c, 0, 69, 0
2, 3600, Note_on_c, 0, 71, 75
2, 3600, Note_on_c, 0, 71, 74
2, 3600, Note_on_c, 0, 55, 74
2, 3645, Note_on_c, 0, 57, 0
2, 3660, Control_c, 0, 64, 127
2, 3960, Note_on_c, 0, 73, 68
2, 4005, Note_on_c, 0, 71, 0
2, 4080, Note_on_c, 0, 71, 0
2, 4080, Note_on_c, 0, 75, 73
2, 4080, Note_on_c, 0, 69, 69
2, 4080, Note_on_c, 0, 54, 67
2, 4117, Note_on_c, 0, 55, 0
2, 4125, Note_on_c, 0, 73, 0
2, 4275, Control_c, 0, 64, 0
