0, 0, Header, 1, 2, 360
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 923077
1, 5400, Tempo, 1000000
1, 5760, Tempo, 923077
1, 9000, Tempo, 1000000
1, 10080, Tempo, 923077
1, 12240, Tempo, 1000000
1, 12960, Tempo, 923077
1, 26640, Tempo, 944882
1, 28800, Time_signature, 2, 2, 24, 8
1, 29520, Time_signature, 4, 2, 24, 8
1, 29520, Tempo, 923077
1, 30600, Tempo, 923077
1, 30623, Tempo, 943693
1, 30645, Tempo, 965096
1, 30668, Tempo, 987654
1, 30690, Tempo, 1011293
1, 30713, Tempo, 1035912
1, 30735, Tempo, 1061947
1, 30758, Tempo, 1089325
1, 30780, Tempo, 1117943
1, 30803, Tempo, 1148325
1, 30825, Tempo, 1180405
1, 30848, Tempo, 1214083
1, 30870, Tempo, 1250000
1, 30960, Tempo, 923077
1, 31680, Tempo, 923077
1, 31722, Tempo, 937500
1, 31764, Tempo, 952381
1, 31807, Tempo, 967586
1, 31849, Tempo, 983445
1, 31891, Tempo, 999833
1, 31933, Tempo, 1016777
1, 31976, Tempo, 1034304
1, 32018, Tempo, 1052262
1, 32060, Tempo, 1071046
1, 32102, Tempo, 1090513
1, 32144, Tempo, 1110700
1, 32186, Tempo, 1131648
1, 32229, Tempo, 1153181
1, 32271, Tempo, 1175779
1, 32313, Tempo, 1199280
1, 32355, Tempo, 1223741
1, 32399, Tempo, 1250000
1, 32400, Tempo, 923077
1, 32760, Tempo, 923077
1, 32908, Tempo, 905934
1, 33056, Tempo, 889416
1, 33203, Tempo, 873490
1, 33351, Tempo, 858124
1, 33498, Tempo, 843170
1, 33646, Tempo, 828844
1, 33840, Time_signature, 6, 2, 24, 8
1, 33941, Tempo, 801603
1, 34089, Tempo, 788644
1, 34237, Tempo, 776096
1, 34384, Tempo, 763942
1, 34532, Tempo, 752162
1, 34680, Tempo, 740649
1, 34827, Tempo, 729572
1, 34975, Tempo, 718821
1, 35123, Tempo, 708383
1, 35279, Tempo, 697674
1, 36000, Time_signature, 4, 2, 24, 8
1, 41040, Tempo, 697674
1, 41082, Tempo, 708299
1, 41124, Tempo, 719252
1, 41167, Tempo, 730549
1, 41209, Tempo, 742299
1, 41251, Tempo, 754337
1, 41293, Tempo, 766773
1, 41336, Tempo, 779626
1, 41378, Tempo, 792917
1, 41420, Tempo, 806668
1, 41462, Tempo, 821018
1, 41504, Tempo, 835771
1, 41546, Tempo, 851064
1, 41589, Tempo, 866927
1, 41631, Tempo, 883392
1, 41673, Tempo, 900495
1, 41715, Tempo, 918414
1, 41759, Tempo, 937500
1, 41985, Tempo, 666667
1, 43200, Tempo, 1000000
1, 44820, Tempo, 666667
1, 45990, Tempo, 5000000
1, 46080, Tempo, 666667
1, 46440, Tempo, 1000000
1, 50400, Tempo, 923077
1, 58649, Tempo, 895522
1, 59040, Tempo, 869565
1, 59400, Tempo, 845070
1, 59760, Tempo, 821918
1, 60120, Tempo, 800000
1, 60480, Tempo, 857143
1, 61920, Tempo, 923077
1, 64710, Tempo, 5000000
1, 64800, Tempo, 923077
1, 64800, End_track
2, 0, Start_track
2, 0, Title_t, "Piano"
2, 0, Program_c, 0, 0
2, 0, Control_c, 0, 7, 105
2, 0, Control_c, 0, 10, 63
2, 0, Control_c, 0, 91, 60
2, 0, Control_c, 0, 121, 0
2, 0, Control_c, 0, 121, 0
2, 0, Control_c, 0, 91, 60
2, 0, Control_c, 0, 10, 51
2, 0, Control_c, 0, 7, 100
2, 0, Control_c, 0, 64, 127
2, 90, Note_on_c, 0, 62, 46
2, 180, Note_on_c, 0, 62, 0
2, 180, Note_on_c, 0, 55, 43
2, 270, Note_on_c, 0, 55, 0
2, 270, Note_on_c, 0, 62, 56
2, 360, Note_on_c, 0, 62, 0
2, 360, Control_c, 0, 64, 0
2, 360, Control_c, 0, 64, 127
2, 360, Note_on_c, 0, 67, 59
2, 450, Note_on_c, 0, 67, 0
2, 450, Note_on_c, 0, 62, 45
2, 540, Note_on_c, 0, 62, 0
2, 540, Note_on_c, 0, 67, 57
2, 630, Note_on_c, 0, 67, 0
2, 630, Note_on_c, 0, 70, 52
2, 720, Note_on_c, 0, 70, 0
2, 720, Control_c, 0, 64, 0
2, 720, Control_c, 0, 64, 127
2, 810, Note_on_c, 0, 62, 45
2, 900, Note_on_c, 0, 62, 0
2, 900, Note_on_c, 0, 55, 49
2, 990, Note_on_c, 0, 55, 0
2, 990, Note_on_c, 0, 62, 59
2, 1080, Note_on_c, 0, 62, 0
2, 1080, Control_c, 0, 64, 0
2, 1080, Control_c, 0, 64, 127
2, 1080, Note_on_c, 0, 67, 62
2, 1170, Note_on_c, 0, 67, 0
