0, 0, Header, 1, 3, 360
1, 0, Start_track
1, 0, Title_t, "untitled"
1, 0, Time_signature, 5, 3, 12, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 1000000
1, 147600, Tempo, 923077
1, 162000, Tempo, 1000000
1, 208800, Time_signature, 3, 2, 24, 8
1, 230400, Tempo, 1200000
1, 236160, Tempo, 1200000
1, 236219, Tempo, 1177856
1, 236278, Tempo, 1156515
1, 236337, Tempo, 1135933
1, 236396, Tempo, 1116279
1, 236456, Tempo, 1097093
1, 236514, Tempo, 1078555
1, 236574, Tempo, 1060633
1, 236633, Tempo, 1043297
1, 236692, Tempo, 1026518
1, 236751, Tempo, 1010271
1, 236810, Tempo, 994695
1, 236928, Tempo, 964630
1, 236987, Tempo, 950269
1, 237046, Tempo, 936330
1, 237105, Tempo, 922793
1, 237167, Tempo, 909091
1, 237240, Tempo, 909091
1, 237275, Tempo, 923077
1, 237311, Tempo, 937500
1, 237345, Tempo, 952230
1, 237381, Tempo, 967586
1, 237416, Tempo, 983445
1, 237451, Tempo, 999833
1, 237486, Tempo, 1016605
1, 237521, Tempo, 1034126
1, 237557, Tempo, 1052262
1, 237592, Tempo, 1071046
1, 237627, Tempo, 1090314
1, 237662, Tempo, 1110494
1, 237697, Tempo, 1131435
1, 237732, Tempo, 1153181
1, 237767, Tempo, 1175549
1, 237803, Tempo, 1199041
1, 237839, Tempo, 1224490
1, 237959, Tempo, 909091
1, 237960, Key_signature, -3, "major"
1, 270840, Tempo, 1224490
1, 270875, Tempo, 1243781
1, 270910, Tempo, 1263956
1, 270945, Tempo, 1284522
1, 270980, Tempo, 1305767
1, 271016, Tempo, 1327727
1, 271050, Tempo, 1350743
1, 271086, Tempo, 1374256
1, 271121, Tempo, 1398601
1, 271156, Tempo, 1424163
1, 271191, Tempo, 1450326
1, 271226, Tempo, 1477469
1, 271262, Tempo, 1505646
1, 271297, Tempo, 1535312
1, 271332, Tempo, 1565762
1, 271367, Tempo, 1597444
1, 271402, Tempo, 1630878
1, 271439, Tempo, 1666667
1, 271440, Tempo, 909091
1, 280080, Tempo, 705882
1, 306000, Key_signature, 0, "major"
1, 309240, Tempo, 705882
1, 309292, Tempo, 692681
1, 309344, Tempo, 679964
1, 309396, Tempo, 667705
1, 309448, Tempo, 655881
1, 309500, Tempo, 644538
1, 309552, Tempo, 633513
1, 309604, Tempo, 622859
1, 309656, Tempo, 612557
1, 309708, Tempo, 602591
1, 309761, Tempo, 592944
1, 309812, Tempo, 583601
1, 309864, Tempo, 574548
1, 309917, Tempo, 565824
1, 309969, Tempo, 557310
1, 310020, Tempo, 549048
1, 310073, Tempo, 541028
1, 310140, Tempo, 530973
1, 313559, Tempo, 631579
1, 313920, Tempo, 618557
1, 314280, Tempo, 606061
1, 314640, Tempo, 600000
1, 321120, Tempo, 722892
1, 321480, Tempo, 731707
1, 321840, Tempo, 740741
1, 322200, Tempo, 750000
1, 322560, Tempo, 759494
1, 322920, Tempo, 769231
1, 323280, Tempo, 779221
1, 324360, Tempo, 789474
1, 325440, Tempo, 789474
1, 349200, Tempo, 789474
1, 349560, Tempo, 783290
1, 349920, Tempo, 777202
1, 350280, Tempo, 771109
1, 350640, Tempo, 765209
1, 351000, Tempo, 759398
1, 351360, Tempo, 753674
1, 351720, Tempo, 747943
1, 352080, Tempo, 742390
1, 352440, Tempo, 736920
1, 352800, Tempo, 731529
1, 353160, Tempo, 726129
1, 353520, Tempo, 720894
1, 353880, Tempo, 715734
1, 354240, Tempo, 710648
1, 354600, Tempo, 705550
1, 354960, Tempo, 700607
1, 355320, Tempo, 695733
1, 355680, Tempo, 690926
1, 356040, Tempo, 686106
1, 356400, Tempo, 681431
1, 356760, Tempo, 676819
1, 357120, Tempo, 672269
1, 357480, Tempo, 667705
1, 357840, Tempo, 663277
1, 358200, Tempo, 658906
1, 358560, Tempo, 654593
